Household_Size,Seasonal_Index,Garden_Area,Income_Level,Building_Type,Avg_Temperature_C,Num_Appliances,Daily_Liters_Used
3.0,1.27,125.3,High,Apartment,33.1,6.0,992.6
2.0,0.71,0.0,Low,Row_House,,,179.7
6.0,1.27,69.5,High,Apartment,29.2,3.0,1438.37
4.0,,150.1,Medium,Villa,23.5,2.0,1055.43
6.0,1.31,0.0,High,Apartment,39.3,9.0,1387.23
,1.22,93.4,Medium,Apartment,30.4,2.0,1109.41
4.0,1.35,200.5,High,Apartment,36.5,5.0,1480.59
6.0,0.93,290.9,Low,Row_House,20.8,7.0,1218.71
1.0,,,High,Apartment,26.2,5.0,646.72
2.0,0.96,32.3,Low,Apartment,22.7,6.0,372.47
1.0,1.01,31.9,High,Row_House,24.0,2.0,199.86
3.0,1.11,285.9,High,Apartment,26.8,2.0,1145.52
3.0,1.27,0.0,Low,Villa,32.3,5.0,597.64
2.0,1.34,36.7,Low,Villa,35.2,5.0,564.78
5.0,1.2,183.7,High,Row_House,30.1,5.0,1524.68
3.0,0.97,190.9,Low,Apartment,20.8,3.0,689.66
2.0,0.97,0.0,High,Row_House,24.3,4.0,385.54
3.0,1.18,87.5,Low,Apartment,25.9,4.0,615.76
2.0,0.86,0.0,Low,Row_House,15.8,2.0,299.55
5.0,0.77,289.9,High,Apartment,18.6,3.0,1097.34
1.0,0.93,0.0,Medium,Villa,23.1,5.0,188.57
6.0,0.89,206.0,High,Apartment,20.7,2.0,1249.67
4.0,0.89,214.9,Medium,Row_House,18.1,3.0,883.34
2.0,0.85,186.9,Medium,Row_House,18.2,6.0,595.53
1.0,0.73,0.0,Medium,Row_House,15.4,7.0,161.35
5.0,0.71,88.6,Medium,Apartment,12.1,3.0,570.56
4.0,1.34,183.3,Medium,Villa,33.2,8.0,1493.12
4.0,0.98,,Medium,Row_House,24.9,2.0,1083.58
4.0,0.95,0.0,Medium,Row_House,25.5,9.0,645.45
1.0,1.14,40.7,Low,Apartment,27.7,4.0,247.28
3.0,0.84,54.9,High,Row_House,20.8,8.0,578.98
2.0,1.32,284.0,Low,Apartment,30.2,5.0,1011.58
5.0,1.21,0.0,Medium,Apartment,32.0,7.0,905.39
4.0,0.76,0.0,Low,Apartment,15.2,9.0,374.01
3.0,0.97,68.8,Medium,Villa,23.9,6.0,676.55
1.0,1.27,180.4,Medium,Apartment,32.0,9.0,750.73
3.0,1.31,213.3,Low,Apartment,36.4,7.0,1105.78
3.0,1.0,207.2,Low,Row_House,22.5,9.0,839.99
4.0,1.1,0.0,Low,Row_House,28.6,7.0,643.29
4.0,0.81,14.5,Medium,Apartment,17.8,3.0,534.16
5.0,1.34,179.0,High,Row_House,34.4,2.0,1697.07
3.0,0.85,83.4,Low,Apartment,19.2,9.0,487.33
2.0,1.31,140.6,Medium,Apartment,,9.0,762.51
4.0,1.12,287.7,Medium,Apartment,27.9,2.0,1237.61
4.0,,0.0,Medium,Villa,27.2,7.0,857.28
4.0,1.03,253.5,High,Apartment,25.6,5.0,1173.33
4.0,0.85,64.7,Medium,Apartment,19.8,2.0,584.23
3.0,,205.0,Medium,Apartment,20.0,7.0,678.6
3.0,0.84,293.3,Low,Villa,21.2,2.0,832.83
3.0,0.82,39.5,Low,Apartment,16.6,5.0,302.14
1.0,1.21,12.4,Low,Apartment,32.4,6.0,263.47
2.0,0.93,135.7,Low,Apartment,19.7,8.0,543.01
1.0,0.74,36.9,Medium,Apartment,17.4,7.0,191.18
4.0,1.33,227.0,Medium,Row_House,35.6,4.0,1420.51
3.0,1.27,0.0,Medium,Row_House,28.7,4.0,609.72
3.0,,,Low,Apartment,33.6,7.0,882.53
5.0,1.35,85.0,Low,Apartment,34.1,3.0,1039.65
2.0,0.81,136.0,Medium,Apartment,16.9,6.0,436.17
3.0,0.96,219.8,High,Apartment,25.7,3.0,932.25
4.0,1.19,12.6,Low,Apartment,28.8,8.0,695.16
2.0,1.15,180.9,High,Row_House,27.2,4.0,831.22
1.0,0.8,187.9,Medium,Villa,18.2,5.0,470.11
2.0,1.23,0.0,Medium,Villa,,,544.28
2.0,0.85,0.0,Medium,Villa,19.3,8.0,381.79
6.0,0.85,0.0,Low,Row_House,21.9,9.0,673.9
5.0,1.05,36.5,Low,Row_House,26.8,9.0,859.55
,1.09,67.8,Medium,Apartment,22.6,2.0,727.51
,1.08,0.0,Medium,Row_House,25.6,4.0,841.37
5.0,0.76,,High,Row_House,15.7,6.0,1097.49
2.0,1.27,14.0,Medium,Row_House,33.5,4.0,506.11
5.0,0.87,0.0,Low,Row_House,15.0,6.0,572.55
3.0,0.78,72.2,Medium,Apartment,22.6,6.0,415.18
5.0,1.28,88.5,Low,Apartment,33.9,7.0,1077.67
5.0,1.32,81.8,Medium,Villa,34.4,6.0,1370.45
3.0,1.26,28.1,Medium,Apartment,34.6,3.0,619.52
2.0,1.23,143.1,High,Row_House,36.0,9.0,880.42
2.0,1.13,222.5,High,Villa,,,1063.78
3.0,1.06,186.0,Medium,Row_House,28.0,5.0,924.69
5.0,0.76,205.1,Medium,Row_House,17.1,4.0,866.19
,0.97,0.0,High,Apartment,23.0,5.0,836.76
1.0,0.94,285.9,Low,Apartment,21.4,,656.4
3.0,0.87,253.2,Low,Villa,,2.0,799.24
3.0,1.17,0.0,Low,Row_House,28.1,8.0,544.66
2.0,1.02,0.0,Low,Row_House,22.1,4.0,337.34
2.0,0.75,280.5,Medium,Apartment,16.4,9.0,680.34
3.0,0.84,167.8,Medium,Apartment,15.9,5.0,640.54
6.0,1.14,68.1,Medium,Villa,28.9,5.0,1358.09
3.0,0.75,,Low,Apartment,16.5,7.0,588.1
3.0,1.25,0.0,Medium,Row_House,32.2,7.0,657.19
4.0,1.02,224.0,Medium,Apartment,23.8,8.0,1006.05
3.0,1.01,0.0,Medium,Row_House,30.7,8.0,546.2
6.0,1.09,29.9,Medium,Villa,29.7,2.0,1219.19
6.0,1.24,117.6,Medium,Row_House,29.1,6.0,1465.94
2.0,0.93,277.0,Low,Apartment,22.5,4.0,722.76
3.0,1.14,179.5,Low,Row_House,27.3,7.0,852.62
3.0,1.07,166.1,High,Row_House,24.4,4.0,945.05
2.0,,88.0,High,Apartment,17.6,2.0,438.8
1.0,1.27,116.9,Medium,Villa,33.4,7.0,604.98
4.0,1.22,269.7,Low,Row_House,29.6,7.0,1328.42
3.0,,,Medium,Villa,30.2,6.0,1110.56
1.0,1.25,238.3,Medium,Row_House,33.9,4.0,797.75
2.0,1.26,141.8,High,Apartment,35.0,9.0,839.75
5.0,1.16,192.8,Low,Apartment,27.4,,1090.13
2.0,1.24,0.0,Low,Apartment,32.6,4.0,389.66
2.0,1.15,214.6,Medium,Villa,30.1,6.0,972.06
3.0,1.14,134.0,Medium,Row_House,27.6,7.0,861.52
6.0,1.1,0.0,Low,Row_House,25.8,2.0,860.01
2.0,1.19,0.0,Low,Apartment,33.3,4.0,404.05
4.0,0.8,0.0,Medium,Apartment,18.5,5.0,485.02
4.0,1.27,28.6,High,Row_House,33.8,9.0,1100.19
2.0,1.27,249.2,High,Row_House,30.9,9.0,1103.55
,0.72,94.8,Medium,Apartment,13.2,6.0,560.76
3.0,1.24,138.7,Medium,Row_House,30.5,3.0,899.35
4.0,0.78,16.4,Low,Apartment,17.2,2.0,358.79
4.0,0.92,97.3,Medium,Apartment,19.6,5.0,687.07
3.0,1.18,155.8,Medium,Row_House,29.7,4.0,910.1
1.0,0.8,26.3,Medium,Apartment,,3.0,158.57
5.0,1.23,152.4,Medium,Villa,29.1,2.0,1385.05
3.0,1.24,278.9,Low,Apartment,33.0,6.0,1174.91
2.0,1.03,0.0,Low,Apartment,26.4,3.0,326.24
1.0,0.7,231.7,Medium,Apartment,14.2,7.0,378.07
4.0,0.89,128.8,Low,Row_House,18.8,8.0,751.76
4.0,1.1,200.0,Low,Apartment,,3.0,919.8
1.0,1.34,0.0,High,Row_House,33.9,8.0,389.02
3.0,1.11,0.0,Medium,Apartment,28.9,9.0,553.16
2.0,0.87,56.5,Medium,Apartment,22.1,5.0,381.26
4.0,1.11,0.0,High,Apartment,26.6,2.0,746.35
2.0,1.05,63.8,High,Villa,23.5,5.0,646.91
4.0,1.21,202.6,Medium,Villa,31.2,5.0,1307.85
3.0,0.77,265.7,High,Apartment,15.5,4.0,781.99
6.0,1.19,246.1,Medium,Row_House,29.0,6.0,1692.49
2.0,1.05,208.7,Medium,Villa,28.4,3.0,837.01
3.0,1.33,42.0,Medium,Apartment,36.0,2.0,780.48
2.0,0.92,0.0,Medium,Villa,22.1,9.0,387.8
6.0,1.11,0.0,Medium,Apartment,25.1,7.0,989.2
5.0,1.31,82.5,Medium,Villa,34.2,,1398.76
2.0,0.77,159.4,Low,Row_House,19.3,6.0,510.79
4.0,1.31,165.3,Medium,Villa,33.0,2.0,1342.32
5.0,1.15,113.5,Low,Row_House,31.5,6.0,1037.75
4.0,0.74,112.6,Medium,Apartment,18.8,4.0,620.75
3.0,0.9,250.3,Medium,Villa,24.5,6.0,922.21
2.0,1.16,238.9,Medium,Apartment,29.8,9.0,883.0
1.0,0.74,99.3,High,Apartment,17.4,9.0,313.05
5.0,1.08,275.0,High,Row_House,29.5,4.0,1575.52
5.0,0.92,286.3,Medium,Row_House,22.7,3.0,1233.82
4.0,1.1,104.8,Medium,Villa,26.3,3.0,1008.09
3.0,0.73,0.0,Medium,Apartment,15.0,5.0,365.34
3.0,1.27,156.6,Low,Row_House,33.0,9.0,921.82
4.0,1.33,282.9,Low,Row_House,31.8,,1410.45
5.0,1.33,264.1,Low,Apartment,,7.0,1484.1
5.0,1.19,39.7,Medium,Apartment,32.3,3.0,942.63
4.0,0.78,123.9,Medium,Apartment,13.1,6.0,624.99
4.0,1.19,170.5,High,Apartment,33.1,2.0,1210.7
1.0,0.72,0.0,Low,Villa,17.9,2.0,114.86
2.0,0.71,66.2,Low,Row_House,14.4,8.0,325.69
5.0,0.91,0.0,High,Row_House,22.5,9.0,888.6
4.0,1.02,206.3,Low,Villa,24.9,4.0,995.93
1.0,1.2,253.0,Medium,Apartment,32.8,7.0,817.97
2.0,1.14,259.0,Medium,Villa,30.5,5.0,1001.6
4.0,0.99,227.0,Medium,Apartment,,,985.69
1.0,0.88,137.4,Low,Villa,21.7,4.0,398.77
2.0,1.35,187.1,Low,Apartment,34.6,8.0,889.02
3.0,0.98,56.5,Low,Villa,23.8,2.0,550.21
4.0,0.99,205.4,Medium,Apartment,22.5,4.0,979.23
4.0,0.81,0.0,Medium,Apartment,21.9,6.0,459.89
,,211.2,Low,Row_House,33.1,7.0,862.25
4.0,1.15,76.6,Medium,Apartment,27.4,9.0,957.66
,0.84,44.1,High,Row_House,16.6,7.0,389.46
3.0,0.75,57.9,Low,Apartment,15.8,3.0,313.93
4.0,,10.6,Medium,Row_House,29.4,6.0,803.39
4.0,1.13,218.4,Medium,Apartment,28.7,8.0,1083.72
5.0,0.88,0.0,Low,Apartment,23.0,3.0,533.01
4.0,1.32,159.3,Medium,Apartment,35.7,3.0,1228.36
4.0,0.8,56.8,Medium,Row_House,20.0,3.0,540.94
1.0,0.98,0.0,High,Apartment,24.3,4.0,158.56
3.0,1.31,0.0,High,Apartment,31.0,8.0,690.46
2.0,0.97,0.0,Medium,Apartment,22.9,2.0,323.77
2.0,1.12,268.3,Medium,Apartment,30.0,7.0,975.46
6.0,0.96,80.0,Medium,Row_House,22.9,9.0,1057.71
3.0,0.88,112.7,Medium,Villa,21.5,,693.98
5.0,1.34,40.6,Medium,Apartment,34.1,2.0,1096.83
4.0,0.97,74.5,Low,Row_House,21.2,,739.61
4.0,1.28,160.6,Medium,Row_House,32.6,9.0,1238.63
3.0,0.85,0.0,Medium,Apartment,20.2,8.0,345.93
4.0,0.84,81.2,Medium,Row_House,18.0,9.0,667.85
3.0,0.72,26.7,High,Apartment,,8.0,424.41
2.0,1.12,123.4,Low,Row_House,26.0,6.0,603.59
4.0,,77.9,Medium,Apartment,24.6,9.0,722.45
2.0,1.26,73.7,Low,Row_House,31.6,7.0,625.41
1.0,1.01,0.0,High,Row_House,27.4,7.0,313.37
4.0,1.33,0.0,Medium,Apartment,37.4,8.0,831.51
2.0,0.82,0.0,Medium,Apartment,,7.0,315.22
6.0,1.26,130.6,Medium,Villa,30.2,5.0,1660.76
6.0,1.2,0.0,Medium,Apartment,26.2,6.0,1028.74
5.0,1.2,166.9,High,Row_House,27.4,4.0,1507.1
3.0,1.25,212.0,Medium,Villa,29.2,9.0,1226.18
1.0,1.19,213.6,Medium,Row_House,32.8,4.0,786.12
6.0,1.11,59.8,High,Row_House,27.8,2.0,1295.97
3.0,0.79,0.0,Low,Row_House,18.5,4.0,320.9
6.0,0.72,129.5,Low,Villa,11.2,3.0,787.04
,1.3,262.5,Medium,Row_House,31.1,7.0,1870.78
5.0,1.1,0.0,High,Row_House,29.1,4.0,1076.39
2.0,1.22,0.0,Medium,Apartment,31.6,2.0,391.79
3.0,1.01,43.5,Low,Villa,24.2,2.0,514.08
5.0,0.78,185.6,Medium,Row_House,18.6,3.0,887.96
3.0,0.78,44.0,Medium,Apartment,20.7,2.0,425.74
2.0,1.15,107.8,Low,Villa,28.4,8.0,601.79
4.0,0.98,51.4,Medium,Row_House,23.8,5.0,729.76
6.0,0.83,210.7,High,Apartment,19.4,8.0,1126.35
4.0,1.02,69.8,Medium,Row_House,29.6,7.0,806.91
4.0,0.74,123.6,Medium,Apartment,12.0,7.0,569.33
1.0,1.08,269.7,Medium,Villa,28.1,7.0,830.51
4.0,0.87,69.3,Low,Apartment,20.0,6.0,563.55
6.0,1.22,157.3,High,Villa,32.1,4.0,1863.45
2.0,0.9,131.6,Medium,Row_House,19.8,5.0,557.39
3.0,1.0,15.3,Medium,Apartment,24.1,4.0,439.88
5.0,0.71,239.9,Medium,Villa,16.7,5.0,954.41
4.0,0.75,30.0,Medium,Row_House,22.8,4.0,510.38
4.0,0.96,147.5,Medium,Apartment,24.6,3.0,802.63
4.0,1.01,172.6,Low,Row_House,22.8,9.0,926.14
3.0,1.09,0.0,High,Villa,26.2,8.0,773.17
2.0,0.89,209.7,High,Apartment,19.9,2.0,687.95
5.0,1.15,,Medium,Apartment,25.3,2.0,799.96
,1.26,12.9,High,Apartment,31.6,8.0,1147.13
5.0,1.21,219.8,Low,Apartment,32.2,3.0,1220.89
,0.73,165.3,Medium,Row_House,13.4,5.0,786.31
3.0,1.01,252.5,Medium,Row_House,26.6,8.0,1016.18
3.0,0.77,248.2,Medium,Apartment,18.1,6.0,701.36
4.0,0.86,254.6,Medium,Apartment,18.5,5.0,841.18
4.0,1.34,150.7,Medium,Apartment,34.4,2.0,1156.81
4.0,0.79,106.8,Low,Villa,21.0,6.0,679.7
4.0,1.02,0.0,Medium,Apartment,26.3,4.0,583.58
5.0,1.1,140.9,Low,Villa,27.3,6.0,1111.06
3.0,1.16,63.2,Medium,Row_House,28.7,5.0,768.79
3.0,1.06,257.9,Low,Apartment,26.2,3.0,922.76
1.0,0.71,0.0,Low,Villa,14.3,4.0,123.31
4.0,0.91,0.0,Medium,Row_House,17.3,5.0,541.74
1.0,1.04,32.0,Medium,Row_House,29.5,4.0,268.8
3.0,0.76,122.5,High,Villa,17.2,6.0,718.59
3.0,0.93,243.0,Medium,Apartment,22.9,2.0,818.66
,0.72,271.5,Medium,Apartment,,5.0,565.02
4.0,0.75,0.0,High,Row_House,15.1,9.0,609.64
1.0,0.96,29.4,Medium,Apartment,22.6,3.0,202.25
1.0,0.79,264.4,Low,Apartment,14.6,9.0,579.23
5.0,1.07,0.0,Medium,Apartment,,9.0,866.41
3.0,1.15,167.1,High,Apartment,26.4,8.0,976.07
,1.22,0.0,Medium,Row_House,28.9,6.0,431.59
3.0,0.83,0.0,Low,Apartment,18.1,,248.51
4.0,0.81,0.0,Low,Row_House,21.0,3.0,399.88
2.0,0.77,0.0,Low,Row_House,,5.0,197.32
4.0,,0.0,Medium,Apartment,25.1,,666.83
1.0,1.16,243.1,Medium,Apartment,31.7,5.0,747.64
1.0,0.72,135.7,Low,Row_House,17.1,4.0,263.6
3.0,1.31,,High,Apartment,34.8,6.0,1429.82
3.0,0.73,172.1,High,Row_House,17.4,,670.76
4.0,1.05,103.1,Medium,Villa,,8.0,1029.64
4.0,1.16,73.8,High,Apartment,33.5,2.0,904.48
6.0,1.27,111.7,Low,Row_House,31.2,5.0,1287.36
3.0,1.16,0.0,Medium,Row_House,32.4,4.0,556.0
3.0,1.22,29.9,Medium,Apartment,31.8,3.0,653.14
4.0,0.92,0.0,High,Villa,22.8,8.0,851.19
2.0,1.23,144.6,High,Villa,27.9,,854.6
3.0,,219.6,Low,Apartment,16.2,9.0,599.26
1.0,1.28,200.5,High,Row_House,31.2,,791.53
1.0,1.06,215.5,Low,Villa,27.7,3.0,562.28
6.0,1.23,12.4,High,Villa,33.4,2.0,1594.67
5.0,0.99,73.1,High,Row_House,19.8,4.0,1032.18
4.0,1.12,0.0,Low,Row_House,27.9,9.0,698.42
3.0,1.04,150.4,Medium,Apartment,27.7,6.0,748.21
2.0,1.18,11.5,Low,Villa,29.4,3.0,414.75
2.0,0.75,243.3,Medium,Apartment,18.0,8.0,553.51
2.0,0.74,234.1,Medium,Row_House,16.9,4.0,534.94
3.0,0.86,169.0,Medium,Apartment,20.6,5.0,622.44
4.0,0.8,29.3,High,Apartment,,2.0,597.94
4.0,1.27,232.3,Medium,Apartment,30.1,4.0,1257.88
2.0,0.84,179.3,Medium,Villa,17.1,4.0,594.32
6.0,1.33,236.8,High,Apartment,35.8,6.0,1925.94
4.0,0.92,228.0,High,Row_House,21.8,4.0,1035.6
4.0,0.82,242.9,Low,Apartment,18.4,6.0,777.21
4.0,1.21,0.0,High,Apartment,29.8,2.0,843.72
3.0,1.13,50.7,Low,Apartment,27.6,2.0,503.03
2.0,1.02,0.0,High,Row_House,26.9,5.0,460.88
3.0,1.06,189.9,Low,Apartment,25.4,,773.98
4.0,1.17,,Low,Apartment,26.8,6.0,593.94
,0.85,59.3,Medium,Apartment,21.1,3.0,262.92
2.0,1.35,66.5,Medium,Apartment,34.6,3.0,586.64
1.0,1.33,0.0,Medium,Villa,34.4,5.0,330.8
1.0,1.12,227.5,Low,Villa,31.1,2.0,680.3
5.0,0.83,273.4,Medium,Apartment,19.0,7.0,1023.92
,1.14,230.0,High,Row_House,29.1,3.0,1267.33
3.0,0.75,0.0,Medium,Villa,14.2,4.0,349.5
1.0,0.72,199.7,Low,Apartment,15.2,2.0,373.86
3.0,0.87,267.8,Medium,Villa,21.4,7.0,964.11
3.0,1.0,0.0,Low,Villa,21.1,9.0,491.25
2.0,1.26,0.0,High,Apartment,32.6,4.0,480.91
3.0,1.17,55.4,High,Apartment,29.7,8.0,790.63
3.0,,,Medium,Villa,29.9,6.0,1024.32
4.0,0.98,217.8,Medium,Row_House,25.7,2.0,945.22
4.0,0.92,88.6,High,Apartment,22.4,8.0,786.33
1.0,0.94,68.7,Medium,Apartment,25.3,5.0,304.98
3.0,1.34,101.0,High,Apartment,32.7,6.0,1004.19
4.0,0.73,0.0,Medium,Row_House,16.2,6.0,550.55
3.0,1.26,72.3,High,Row_House,32.4,4.0,907.76
5.0,,133.2,Medium,Villa,24.6,8.0,1214.78
4.0,0.99,273.3,Medium,Apartment,25.8,6.0,1101.67
2.0,1.17,157.0,High,Row_House,34.1,3.0,868.28
1.0,1.02,64.5,Medium,Row_House,24.8,2.0,319.86
4.0,1.27,0.0,Medium,Apartment,33.5,3.0,724.49
1.0,1.29,211.9,Low,Apartment,33.3,4.0,759.91
4.0,0.97,0.0,Medium,Villa,21.9,7.0,747.05
6.0,0.88,248.3,Medium,Villa,16.9,9.0,1321.61
4.0,1.09,0.0,Low,Row_House,25.6,4.0,617.91
3.0,1.29,0.0,Low,Row_House,30.4,2.0,576.8
4.0,0.84,88.9,Medium,Apartment,22.7,6.0,683.3
3.0,1.1,210.8,High,Row_House,27.1,8.0,1095.94
3.0,1.11,86.6,Medium,Row_House,26.9,,750.78
6.0,1.18,282.3,Low,Row_House,31.5,5.0,1606.78
3.0,0.79,0.0,Medium,Villa,15.5,4.0,392.64
6.0,,0.0,Low,Row_House,27.9,2.0,939.52
5.0,,88.2,Medium,Apartment,33.3,5.0,1109.47
2.0,0.82,65.4,Low,Row_House,20.7,6.0,398.57
1.0,0.85,211.4,Low,Apartment,20.6,7.0,485.59
2.0,1.33,73.4,Low,Apartment,34.9,4.0,610.49
1.0,,182.6,Medium,Apartment,,7.0,460.57
1.0,1.26,86.7,Low,Apartment,33.0,2.0,378.7
4.0,1.02,202.0,Medium,Row_House,25.2,7.0,1096.91
1.0,0.86,246.3,Medium,Row_House,17.9,7.0,618.66
3.0,1.27,235.6,Medium,Row_House,32.6,2.0,1195.1
5.0,0.99,230.6,Medium,Row_House,21.8,2.0,1145.63
1.0,1.03,64.4,High,Apartment,25.3,4.0,339.57
5.0,0.93,35.6,Low,Villa,21.1,7.0,800.39
2.0,1.09,212.7,Medium,Apartment,32.1,5.0,780.55
2.0,,116.8,Low,Apartment,18.3,9.0,484.31
4.0,0.95,135.4,Low,Row_House,19.9,2.0,737.36
4.0,1.33,19.0,Medium,Apartment,34.1,6.0,773.5
5.0,0.87,85.3,Medium,Apartment,21.3,7.0,789.49
4.0,1.13,19.8,High,Row_House,31.6,2.0,890.41
5.0,0.91,265.0,Medium,Row_House,,5.0,1150.12
2.0,1.2,80.6,High,Apartment,27.2,8.0,645.58
2.0,,171.6,Low,Villa,19.4,4.0,539.57
4.0,1.33,21.3,Low,Row_House,31.6,7.0,854.37
5.0,0.99,203.4,Low,Villa,23.1,8.0,1164.9
6.0,0.85,103.7,Low,Apartment,19.1,2.0,744.55
3.0,0.75,0.0,Medium,Row_House,16.4,2.0,345.91
3.0,0.81,267.6,Medium,Villa,19.8,6.0,860.75
4.0,1.04,0.0,Low,Row_House,24.1,6.0,568.5
3.0,0.92,271.3,High,Row_House,21.2,7.0,1024.58
6.0,1.24,298.9,High,Apartment,31.6,8.0,1968.15
5.0,,,Low,Apartment,23.9,9.0,692.9
3.0,0.86,0.0,Low,Row_House,20.1,8.0,437.5
4.0,1.1,82.2,Low,Apartment,28.2,2.0,692.46
4.0,1.16,177.2,Low,Villa,30.8,9.0,1179.56
2.0,0.81,29.5,Low,Apartment,19.2,7.0,264.88
5.0,,0.0,Medium,Villa,19.3,2.0,727.27
3.0,0.72,299.7,Low,Villa,12.5,6.0,718.32
5.0,1.18,,Medium,Apartment,29.9,5.0,1053.79
3.0,1.13,227.0,High,Apartment,29.2,3.0,1074.69
5.0,1.01,243.9,Medium,Villa,26.0,9.0,1315.76
3.0,1.25,258.8,High,Villa,30.5,3.0,1358.4
1.0,1.22,0.0,Low,Apartment,29.7,2.0,197.45
5.0,1.08,80.0,Medium,Apartment,25.5,8.0,963.44
1.0,1.26,21.7,Medium,Row_House,33.3,6.0,332.89
3.0,0.83,,Low,Row_House,21.1,4.0,505.88
6.0,0.77,0.0,Low,Apartment,,4.0,524.49
6.0,0.88,16.5,Medium,Row_House,22.4,3.0,853.37
4.0,0.74,0.0,Medium,Apartment,16.5,5.0,448.98
4.0,1.05,,Medium,Apartment,25.5,3.0,1056.86
3.0,1.31,174.2,Medium,Apartment,33.3,2.0,1038.38
2.0,0.73,,Medium,Apartment,17.4,5.0,383.17
3.0,0.78,0.0,Low,Apartment,18.1,4.0,279.99
4.0,0.99,0.0,Medium,Row_House,28.5,,677.03
4.0,1.31,14.2,Low,Apartment,32.1,6.0,680.49
4.0,0.91,0.0,Low,Apartment,22.5,9.0,498.77
4.0,1.03,0.0,High,Apartment,24.1,6.0,758.41
1.0,0.73,231.1,Medium,Villa,14.2,2.0,459.15
3.0,0.8,21.3,Medium,Apartment,18.1,3.0,420.78
1.0,1.34,252.8,Medium,Apartment,35.0,2.0,861.54
3.0,1.33,189.7,Medium,Row_House,40.2,9.0,1233.27
3.0,0.7,0.0,Low,Villa,14.6,6.0,338.45
5.0,,191.1,Low,Apartment,31.8,9.0,1361.11
3.0,1.12,260.7,Low,Row_House,28.5,4.0,1018.29
2.0,1.26,180.2,High,Row_House,28.1,6.0,962.24
2.0,1.0,178.5,Medium,Row_House,24.0,,727.05
4.0,,297.3,Medium,Apartment,25.5,8.0,1194.37
4.0,1.02,229.5,Medium,Row_House,26.4,9.0,1131.41
2.0,1.13,138.3,High,Apartment,30.2,8.0,791.08
1.0,,215.1,Low,Row_House,16.8,7.0,461.55
,0.72,122.9,Low,Row_House,15.3,6.0,523.66
1.0,0.9,76.4,Medium,Apartment,19.6,6.0,369.61
5.0,1.16,183.1,High,Villa,26.9,8.0,1634.45
